"Step","Self-attention-prompt-1-static - eval_stdev","Self-attention-prompt-1-static - eval_stdev__MIN","Self-attention-prompt-1-static - eval_stdev__MAX"
"25","0.00824103622540885","0.00824103622540885","0.00824103622540885"
"51","0.005947492088688337","0.005947492088688337","0.005947492088688337"
"77","0.008473452315013988","0.008473452315013988","0.008473452315013988"
"103","0.006393727827590468","0.006393727827590468","0.006393727827590468"
"129","0.008036873967235299","0.008036873967235299","0.008036873967235299"
"155","0.009451249850635954","0.009451249850635954","0.009451249850635954"
"181","0.005352924284754582","0.005352924284754582","0.005352924284754582"
"207","0.004999925465383988","0.004999925465383988","0.004999925465383988"
"233","0.005071557681799191","0.005071557681799191","0.005071557681799191"
"259","0.004731450853822964","0.004731450853822964","0.004731450853822964"
"285","0.004852116744530212","0.004852116744530212","0.004852116744530212"
"311","0.004465082565846866","0.004465082565846866","0.004465082565846866"
"337","0.013678442906173774","0.013678442906173774","0.013678442906173774"
"363","0.005560821689618384","0.005560821689618384","0.005560821689618384"
"389","0.00498874262589942","0.00498874262589942","0.00498874262589942"
"415","0.0045393131098946365","0.0045393131098946365","0.0045393131098946365"
"441","0.004263173432963975","0.004263173432963975","0.004263173432963975"
"467","0.004587763772378173","0.004587763772378173","0.004587763772378173"
"493","0.00550684955245443","0.00550684955245443","0.00550684955245443"
"519","0.004472931952323432","0.004472931952323432","0.004472931952323432"
"545","0.004139908205741462","0.004139908205741462","0.004139908205741462"
"571","0.005502486569082521","0.005502486569082521","0.005502486569082521"
"597","0.004034115461331592","0.004034115461331592","0.004034115461331592"
"623","0.005899132677293803","0.005899132677293803","0.005899132677293803"
"649","0.006686375925109425","0.006686375925109425","0.006686375925109425"
"675","0.00539620890878627","0.00539620890878627","0.00539620890878627"
"701","0.007183687472909024","0.007183687472909024","0.007183687472909024"
"727","0.006487000212456607","0.006487000212456607","0.006487000212456607"
"753","0.006595218550045905","0.006595218550045905","0.006595218550045905"
"779","0.005427843801990953","0.005427843801990953","0.005427843801990953"
"805","0.004687657901168546","0.004687657901168546","0.004687657901168546"
"831","0.0032820221717502554","0.0032820221717502554","0.0032820221717502554"
"857","0.00805155851201089","0.00805155851201089","0.00805155851201089"
"883","0.006127131505062626","0.006127131505062626","0.006127131505062626"
"909","0.005459978528267222","0.005459978528267222","0.005459978528267222"
"935","0.00708510574481136","0.00708510574481136","0.00708510574481136"
"961","0.004840130778024546","0.004840130778024546","0.004840130778024546"
"987","0.0044897851506366885","0.0044897851506366885","0.0044897851506366885"
"1013","0.00424970878975976","0.00424970878975976","0.00424970878975976"
"1039","0.0035154862347688887","0.0035154862347688887","0.0035154862347688887"
"1065","0.003362778562403708","0.003362778562403708","0.003362778562403708"
"1091","0.0032215863768437665","0.0032215863768437665","0.0032215863768437665"
"1117","0.005675019694864671","0.005675019694864671","0.005675019694864671"
"1143","0.007233253719271844","0.007233253719271844","0.007233253719271844"
"1169","0.005710648389932492","0.005710648389932492","0.005710648389932492"
"1195","0.004323161654246945","0.004323161654246945","0.004323161654246945"
"1221","0.003438983966436828","0.003438983966436828","0.003438983966436828"
"1247","0.003264304972314076","0.003264304972314076","0.003264304972314076"
"1273","0.0037901666754155882","0.0037901666754155882","0.0037901666754155882"
"1299","0.003147458891473255","0.003147458891473255","0.003147458891473255"
"1325","0.0034676080988479854","0.0034676080988479854","0.0034676080988479854"
"1351","0.0035157167563906427","0.0035157167563906427","0.0035157167563906427"
"1377","0.005359521458987842","0.005359521458987842","0.005359521458987842"
"1403","0.004868963258133393","0.004868963258133393","0.004868963258133393"
"1429","0.0038934706403499627","0.0038934706403499627","0.0038934706403499627"
"1455","0.0032262678803801187","0.0032262678803801187","0.0032262678803801187"
"1481","0.003329051699151698","0.003329051699151698","0.003329051699151698"
"1507","0.0035644759503297326","0.0035644759503297326","0.0035644759503297326"
"1533","0.004526669437017953","0.004526669437017953","0.004526669437017953"
"1559","0.003924850223289297","0.003924850223289297","0.003924850223289297"
"1585","0.004645732852501067","0.004645732852501067","0.004645732852501067"
"1611","0.0036940325569300506","0.0036940325569300506","0.0036940325569300506"
"1637","0.0033569813898008108","0.0033569813898008108","0.0033569813898008108"
"1663","0.004643646914230467","0.004643646914230467","0.004643646914230467"
"1689","0.005228764162716077","0.005228764162716077","0.005228764162716077"
"1715","0.003076042073709936","0.003076042073709936","0.003076042073709936"
"1741","0.003354361250833292","0.003354361250833292","0.003354361250833292"
"1767","0.0033411899029680975","0.0033411899029680975","0.0033411899029680975"
"1793","0.004130331485139236","0.004130331485139236","0.004130331485139236"
"1819","0.003031656824781138","0.003031656824781138","0.003031656824781138"
"1845","0.005332773295360124","0.005332773295360124","0.005332773295360124"
"1871","0.003378550068088362","0.003378550068088362","0.003378550068088362"
"1897","0.0032102439362785423","0.0032102439362785423","0.0032102439362785423"
"1923","0.0029604709042968286","0.0029604709042968286","0.0029604709042968286"
"1949","0.002958118241361818","0.002958118241361818","0.002958118241361818"
"1975","0.003434123133569294","0.003434123133569294","0.003434123133569294"
"2001","0.003238247885446564","0.003238247885446564","0.003238247885446564"
"2027","0.003597209701710375","0.003597209701710375","0.003597209701710375"
"2053","0.0029048435852928552","0.0029048435852928552","0.0029048435852928552"
"2079","0.0031124206511145987","0.0031124206511145987","0.0031124206511145987"
"2105","0.0029412807363039077","0.0029412807363039077","0.0029412807363039077"
"2131","0.003737170225651408","0.003737170225651408","0.003737170225651408"
"2157","0.003045005846090757","0.003045005846090757","0.003045005846090757"
"2183","0.002959933771912731","0.002959933771912731","0.002959933771912731"
"2209","0.003512271660319867","0.003512271660319867","0.003512271660319867"
"2235","0.003109531704762717","0.003109531704762717","0.003109531704762717"
"2261","0.005660100752308988","0.005660100752308988","0.005660100752308988"
"2287","0.005088819188704331","0.005088819188704331","0.005088819188704331"
"2313","0.003821608616652602","0.003821608616652602","0.003821608616652602"
"2339","0.003586287860435822","0.003586287860435822","0.003586287860435822"
"2365","0.0032887453542909846","0.0032887453542909846","0.0032887453542909846"
"2391","0.00358399859515502","0.00358399859515502","0.00358399859515502"
"2417","0.006163728898736503","0.006163728898736503","0.006163728898736503"
"2443","0.004476080331392142","0.004476080331392142","0.004476080331392142"
"2469","0.0035229128126015546","0.0035229128126015546","0.0035229128126015546"
"2495","0.005831114215500785","0.005831114215500785","0.005831114215500785"
"2521","0.003594762020838994","0.003594762020838994","0.003594762020838994"
"2547","0.0032469729356786967","0.0032469729356786967","0.0032469729356786967"
"2573","0.004347838410590674","0.004347838410590674","0.004347838410590674"
"2599","0.004274252617868822","0.004274252617868822","0.004274252617868822"
"2600","0.004274252617868822","0.004274252617868822","0.004274252617868822"